Category1,Category2,Category3,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug
B,G,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435887,2636617,3595587,2764084,2344495,3379294,2399662,2790968,3694131,2241675,2538105,3299509,2074356,2340021,3206145,2475242,1959534,2861298,1946973,2319304,2935676,1897216,2222217,2842591,1795958,1865473,2717314,1991606,1580481,2364175,1717463,1963030,2565501,1707365,2038131,2721569,1894881,2060413,3148990,2242524,1847982,3103029,2109194,2357012
B,G,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175519,2299791,3181989,2391397,2043156,2951938,2042020,2416385,3214523,2011943,2485272,3384281,2083524,2273957,3040028,2283338,1987494,3101364,1989264,2341115,3070203,1987199,2474795,3251376,2177691,2231944,3482037,2391240,1874112,3049474,1852255,2106607,2684740,1791163,2137129,2947814,2063854,2108513,3301282,2331135,1896783,2875931,1854855,2149181
B,G,J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603948,626962,850781,656050,515863,760576,529130,647482,841686,505926,599982,846348,615561,632784,962369,690988,524401,739857,494909,631479,816677,509950,654884,957178,566156,586749,799598,606585,456966,686947,486801,549906,688869,441086,524742,823765,641876,674864,1013553,792833,587902,822355,586831,632321
B,I,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3098233,3349478,4574319,3491075,2951648,4233042,3038930,3502888,4412434,2906924,3227568,4269837,2726805,3019575,4145489,3114253,2514508,3713955,2569648,2911516,3684545,2327820,2732778,3551173,2269713,2282545,3278750,2518760,2013454,2855122,2078531,2450360,3202557,2130514,2433316,3275857,2189358,2367910,3636974,2739940,2387888,3591560,2521321,2913752
B,I,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4010189,4067335,5699208,4201165,3297578,5020652,3545285,4177218,5529553,3490187,4288185,6009673,3983094,4351290,6480659,4745206,3724223,5751023,3680452,4457932,5805616,3552441,4296379,5864501,3749350,3677921,5544318,4026882,3034154,4793585,3184780,3666727,4713009,3309861,4001529,5651647,3980099,4144276,6191330,4243854,3344141,5707695,3773223,4352719
B,I,A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7369,7209,9363,7348,5803,9549,6347,7357,7020,3129,3988,6360,3996,4477,6885,4952,4070,7343,4801,5929,8008,6189,8380,10876,6315,6622,9795,7628,5624,7912,6011,6421,7818,4910,6284,12021,7652,8615,11572,8463,5666,8592,7268,7890
B,J,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195132,209485,261039,222456,198068,283797,194590,215909,249956,174591,195531,414038,244904,237901,370990,232749,213290,314987,239050,267474,310407,190408,240253,473673,246115,243653,321398,213341,176261,272318,189784,200830,228111,146079,176911,390585,410829,393542,523107,380028,298568,440841,297328,302261
C,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290604,274601,319718,220016,225008,255151,195333,218546,286477,228428,256207,432090,279001,249143,274122,192615,181025,218265,182396,195934,256177,200731,235002,407306,238445,213508,236034,157705,153226,188059,158047,165638,224002,170327,190368,388753,195435,187611,205018,150617,136320,181496,137741,142856
C,A,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205437,182143,203989,140505,135885,172155,127108,138078,194065,151134,163651,327650,171370,143917,154661,106731,108492,128731,107835,115383,142169,111677,122180,242471,131012,112030,124521,87693,84129,100790,84613,88388,121820,90026,100799,229957,100967,93853,104026,78100,71846,92875,75719,74202
C,A,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64108,51787,51711,36274,33766,43359,30564,33601,44961,34966,38227,90389,41195,34533,35765,26713,26175,33866,29768,28427,35298,28788,37793,76128,36836,30143,31556,21463,21286,26018,21022,20191,26539,19696,22884,67046,22934,22744,28501,18058,17417,23472,20670,17054
C,A,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230593,230565,271495,191284,167512,216542,157970,178106,235041,178794,195927,283975,195153,186083,211992,155898,154012,183010,150736,162405,204666,157237,165683,245512,154059,154171,190733,151655,122569,153199,129037,128713,177634,145668,160338,255874,141625,148844,180057,138578,129570,175555,125870,130923
C,A,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53055,51854,65692,44626,39630,49997,39573,41128,57033,46805,50860,100961,46356,51142,62307,42464,42996,52364,37506,40007,55575,44545,47255,71190,43878,41546,51546,40888,34838,46740,45076,41831,57014,53200,60778,116188,55179,77574,86586,62438,49900,73060,60072,59197
C,A,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113640,111884,137439,82086,64523,105723,101955,96006,103525,81942,94871,190199,95178,95727,118464,99300,91656,111953,97294,98849,107482,96805,107171,180794,90518,87102,106619,84483,76117,86814,79245,83020,98997,77599,86182,187923,80341,83813,116937,64572,51508,74006,59840,51950
C,A,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,2010,2439,2351,1949,2663,1638,1221,1343,728,772,945,328,521,497,308,380,552,448,417,589,540,562,642,482,470,476,363,557,772,1053,966,1551,728,695,1885,622,595,638,359,410,650,599,650
C,B,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606564,548546,644253,456429,425789,536205,416125,440829,537734,498504,574190,1307326,631365,572419,617619,478023,468627,515118,478805,514702,684004,555156,719864,1580238,768112,666672,738698,569132,520535,633245,550148,577404,707576,586918,789490,2084681,807989,691892,810865,593327,531289,696573,584280,583162
C,B,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201826,202180,246215,183957,162961,222609,167906,195547,245277,190572,234316,486160,260107,244855,289608,228404,210900,280752,232796,271341,343773,275510,333582,672726,356448,324448,358872,272748,249743,338079,297009,321096,398339,298979,379875,939838,403974,366664,417895,308507,276051,404299,345822,371942
